-16.36153, 3.93110
-17.55634, 5.30983
-18.67029, 3.43326
-17.74033, 1.46464
-13.52564, 9.01985
-11.66764, 10.08471
-13.67233, 10.82547
-14.54356, 13.39653
-16.62523, 9.73103
-17.82555, -1.10705
-16.32505, 0.39478
-14.45972, -0.49555
