-4363.757646843398, -7027.725369110821, -44.63095577685294
-4322.192851819915, -7007.47515242055, -44.68025868547079
-4318.1791529114735, -6962.75599021118, -44.62858851606052
-4299.498516352681, -7044.754329805866, -44.80588557155329
-4264.903072591417, -7001.244916315464, -44.73467790137579
-4256.733640578444, -7057.101250838765, -44.89070786453317
-3483.233047203178, -3459.5468787992722, -36.75545455985525
-3480.561975978384, -3415.9176385147134, -36.5304912748843
-3442.9865408382843, -3373.7882116234546, -36.38759507996133
-3419.83832290774, -3411.958151829628, -36.49537356094925
-3405.8884726987194, -3455.394559986449, -36.511241482174455
-3367.539692109519, -3421.3152253925023, -36.472426385437984
-6225.9241672364615, -1598.9744150540907, -34.71537860928038
-6209.78271323819, -1700.662717009446, -35.025854288629944
-6179.746833401205, -1647.109019618063, -34.98250266273999
-6164.685572798162, -1710.9034963778677, -34.984641397004
